sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa,sex_dummy,sex_factor,leverage,cooks_dist
2,45,59,104,3.8,2.02,0,Male,0.003096620835070872,0.0016854135592046103
2,71,59,130,4,2.65,0,Male,0.006566155934077689,0.0026797805792796872
2,43,52,95,3.25,1.74,0,Male,0.002263621087032558,8.051867162570059e-4
1,55,54,109,2.7,1.54,1,Female,0.00303601644135077,9.98976578062941e-4
1,40,62,102,3.5,2.34,1,Female,0.002913173954910615,9.50178787266356e-5
2,66,61,127,3,2.49,0,Male,0.008085513360098844,5.442359078844325e-4
1,54,62,116,3.25,2.49,1,Female,0.0024880284145671803,3.421797776232338e-5
1,45,60,105,2.75,2.08,1,Female,0.002523319498898324,1.815024381685234e-5
1,57,56,113,3,2.19,1,Female,0.002494862265149823,1.1498330557832651e-4
2,37,51,88,2.5,1.8,0,Male,0.004244908166408586,4.0391488947763e-5
2,35,40,75,2.8,2.22,0,Male,0.005441207389381549,4.5386424668985355e-4
1,61,59,120,3.5,2.95,1,Female,0.003037480878273823,3.245008283650194e-5
2,50,51,101,3.25,2.67,0,Male,0.002070561632583382,2.8282945431894405e-5
1,50,56,106,4,2.89,1,Female,0.005394990168401859,2.4089579423706703e-8
1,44,57,101,3.5,2.66,1,Female,0.0030305212644728377,3.350845067296058e-5
1,58,50,108,3,2.18,1,Female,0.002085736857815246,5.1849196633575305e-5
2,53,56,109,3.5,2.81,0,Male,0.002433029189787191,3.862913671186864e-7
1,42,52,94,3.75,2.06,1,Female,0.005834696947194755,0.0011015539447792153
1,60,57,117,4,2.8,1,Female,0.004646844956376376,2.3162620068717862e-4
1,39,53,92,3,2.59,1,Female,0.0029738561814860107,4.7850344714429443e-4
1,49,50,99,3.5,2.33,1,Female,0.0033044537519390945,7.423483152845856e-5
1,45,65,110,4,3.55,1,Female,0.004939827311767172,0.0012790897060896216
1,60,67,127,4,2.75,1,Female,0.005340038337407503,8.434543308513578e-4
2,50,43,93,3.75,3.59,0,Male,0.004075698205117212,0.0024088824270624577
1,29,50,79,3.25,1.54,1,Female,0.007258626165496883,0.0014310216048328383
1,48,60,108,3.75,2.98,1,Female,0.0035300680851667997,9.884748559311713e-5
2,34,40,74,3,1.28,0,Male,0.005899208193538382,0.0020995734200364062
1,49,47,96,2.5,1.24,1,Female,0.003321876320819971,0.0010567317556252898
2,50,67,117,4,2.93,0,Male,0.004237113294019724,2.201859818884438e-4
2,53,52,105,3.75,2.48,0,Male,0.002869025337541635,3.219837184169174e-4
1,62,63,125,4,2.98,1,Female,0.005096765345623115,1.555263995975024e-4
2,53,56,109,2.7,1.17,0,Male,0.004781560803790568,0.004841263703587923
1,46,55,101,3.5,2.04,1,Female,0.0030305212644728377,5.426420584787661e-4
2,63,57,120,3.2,2.37,0,Male,0.004745438911021679,6.30140445879432e-4
2,44,64,108,3.5,3,0,Male,0.002368602619334235,8.32568472976951e-5
2,63,57,120,2.75,2.98,0,Male,0.0073813121754429615,0.0010192644548806338
2,49,58,107,3.4,2.55,0,Male,0.002261911542277145,4.127610175869697e-5
1,42,55,97,2.8,1.86,1,Female,0.0024516659141774633,8.960762836955414e-5
1,58,56,114,2,2.09,1,Female,0.009575824012209548,2.5583623549410643e-4
1,63,73,136,4,2.89,1,Female,0.0070821916280771275,0.0011146815408447795
2,62,64,126,4,3.38,0,Male,0.0056141002193936035,8.089498401480512e-6
2,57,60,117,3.9,3.94,0,Male,0.003892791736546668,0.0018057510812208536
1,45,71,116,3,2.28,1,Female,0.0028972889829178136,9.116341121755086e-5
1,59,72,131,3,2.43,1,Female,0.006675126647139257,4.0723593074609666e-4
2,45,64,109,4,2.77,0,Male,0.00390251659832399,2.626889231259577e-4
2,52,52,104,2,3.33,0,Male,0.01016820521920102,0.015718889743927628
1,43,64,107,3,2.39,1,Female,0.002043149644690141,2.3886425315441345e-6
2,43,46,89,3.7,2.37,0,Male,0.004597890827096358,1.7612766516684876e-4
1,60,68,128,4,3.82,1,Female,0.005481293767470602,0.001388931554937554
1,50,77,127,3.75,3.63,1,Female,0.004502714728419533,0.0010070308396478143
1,61,58,119,2.5,1.78,1,Female,0.006174934300782608,0.0010193522832487114
1,48,59,107,3,3.22,1,Female,0.002043149644690141,0.0011210689988110762
1,71,70,141,3.5,2.42,1,Female,0.008538474650854761,0.003354847125125791
1,54,71,125,4,3.82,1,Female,0.005096765345623115,0.0015004031098069547
2,53,54,107,4,3.6,0,Male,0.00394966031887276,8.898901194060913e-4
2,45,46,91,3.75,1.84,0,Male,0.0044599204019749265,0.002172914814360324
1,55,68,123,3.5,3.3,1,Female,0.0034701963164233732,4.5589310299071136e-4
1,63,66,129,3.8,3.7,1,Female,0.004985747095250653,0.0011623369603475434
1,51,59,110,3,2.89,1,Female,0.002210149152407266,3.9104503463387104e-4
1,43,39,82,2.3,2.38,1,Female,0.005502833731834031,0.002602893032422388
2,50,49,99,3.75,2.97,0,Male,0.003236934561278558,8.401781231976003e-5
2,51,50,101,4,3.37,0,Male,0.004404994427253555,5.62476042369044e-4
1,57,64,121,3.75,3.18,1,Female,0.0036854708684224955,1.0337747299844862e-4
2,42,44,86,3,1.33,0,Male,0.003176715480051875,0.001599419218802509
1,57,64,121,4,3,1,Female,0.004767170835421583,5.26207838197737e-5
1,58,66,124,4,3.75,1,Female,0.004994747783901826,0.001228175352898535
1,40,57,97,2.6,2.24,1,Female,0.002928209662059213,1.5166474408087e-4
2,49,44,93,2.75,2.44,0,Male,0.003048995570215661,2.117829438428549e-4
1,52,73,125,2.5,2.72,1,Female,0.008057108477467989,8.197400394562252e-4
1,62,58,120,2.5,1.69,1,Female,0.006455931773278662,0.0015915525686859566
2,52,59,111,3.75,3.19,0,Male,0.0029719705339064434,1.0878950831163594e-4
2,35,50,85,3.5,3.1,0,Male,0.004496675386362852,0.0014865553476511558
2,54,59,113,4,2.71,0,Male,0.003965180630593694,5.227401276266588e-4
2,67,70,137,4,3.45,0,Male,0.008735806078494748,1.9184202127523965e-5
2,52,45,97,3.25,3.36,0,Male,0.0021469507777604185,0.0012292361128930468
2,45,53,98,3.2,1,0,Male,0.0021089262018877553,0.003252146948889685
1,51,73,124,3.75,3.08,1,Female,0.004035235995908297,7.427631138799653e-6
2,53,51,104,2.75,3.16,0,Male,0.003663035975059588,0.00197040265333451
1,67,66,133,3.75,3.66,1,Female,0.005790813008518301,0.0010231711228126494
2,59,63,122,4,3.82,0,Male,0.004871313135865843,0.0010580584935304144
1,64,70,134,3.75,3.94,1,Female,0.006051273568266876,0.0025302094263496442
2,58,58,116,3.75,3.79,0,Male,0.003417438657343717,0.0013881976457957516
2,46,57,103,3.25,2.91,0,Male,0.0021108427966784857,1.8372042675389712e-4
1,39,56,95,3,2.33,1,Female,0.002552287664075971,5.019283277165353e-5
2,45,55,100,3.5,3.06,0,Male,0.0023240444758123174,2.738890905689821e-4
1,48,54,102,3,1.91,1,Female,0.002026402920773673,1.9344888871224085e-4
2,41,58,99,3,2.47,0,Male,0.002352732908956253,1.9730140877142704e-5
2,54,60,114,3.5,2.96,0,Male,0.002951351383761026,1.6564559088292934e-5
1,54,55,109,3.67,2.13,1,Female,0.003080301918192064,8.722097442622576e-4
2,38,32,70,2.4,1.98,0,Male,0.007343468153001808,8.527967182779736e-4
2,57,66,123,3.5,3.64,0,Male,0.00470832656809196,0.0013595433363886773
2,44,59,103,2,0.6,0,Male,0.009924798737973299,0.011710140037548727
2,35,52,87,3,2.39,0,Male,0.00303485646866859,9.906547856635263e-5
1,60,53,113,3.5,1.95,1,Female,0.0024855866532460013,0.0010718783624797726
1,53,62,115,4,3.37,1,Female,0.004665157753537395,3.9092210183865365e-4
2,41,52,93,4,3.02,0,Male,0.005744546780808424,1.542342535626637e-4
1,44,44,88,3,1.03,1,Female,0.0037190575902945147,0.002856129056396263
2,51,54,105,4,3.42,0,Male,0.00404912119721061,4.886889793126199e-4
2,54,69,123,4,3.31,0,Male,0.005037390972576878,1.5514738161825189e-6
1,68,69,137,3.5,2.31,1,Female,0.007045970472013108,0.003138253704873343
1,56,67,123,4,2.61,1,Female,0.004905809511627808,0.001057452470081173
1,41,49,90,2,0,1,Female,0.006370175376068845,0.010906839643931101
1,62,71,133,3.7,3.24,1,Female,0.005740007858337289,4.176610156770965e-5
2,55,57,112,4,3.48,0,Male,0.003929895688355362,3.697893732007492e-4
2,34,37,71,2.8,2.26,0,Male,0.006584591007461357,9.306011466383553e-4
2,49,43,92,3.25,2.4,0,Male,0.0025367212217952953,5.8872880884103445e-8
2,49,62,111,3.75,3.76,0,Male,0.0029719705339064434,0.0013621274612188497
2,49,61,110,2.75,1.14,0,Male,0.004665010866785243,0.005327463776529046
1,42,65,107,2.25,1.47,1,Female,0.005560452739409988,8.636045873324365e-4
1,49,48,97,3,2,1,Female,0.0023366384330389626,6.514865249322606e-5
2,57,45,102,2.25,1.13,0,Male,0.00704267141736308,0.0038132356733039364
2,43,47,90,2.5,1.7,0,Male,0.004189504162885779,1.831446344852358e-4
1,40,46,86,2,1.14,1,Female,0.006568340812425865,5.197996447113997e-4
1,49,54,103,3.2,2.54,1,Female,0.0020545813858582826,2.9206792825617984e-5
1,56,46,102,2.5,1.64,1,Female,0.0033991085537820468,3.0943877073405073e-4
1,38,50,88,2.5,2.95,1,Female,0.003951340219251008,0.003943250830896458
1,58,64,122,3,3.17,1,Female,0.0040552832335300935,0.001025543708045968
2,41,47,88,4,1.12,0,Male,0.0070068439088165,0.01364834360142045
2,42,51,93,2.5,1.72,0,Male,0.004204492828456095,2.2507425166152023e-4
1,53,51,104,2.3,1.91,1,Female,0.004776389695821238,3.3488824177966645e-8
2,53,41,94,2.9,3,0,Male,0.0025928221872771866,0.0011158382733850516
2,53,59,112,2.75,3.2,0,Male,0.0051036368129386235,0.0022476265884110217
1,62,69,131,3,3.25,1,Female,0.006675126647139257,0.0013776261008906538
2,59,69,128,3.2,2.26,0,Male,0.0072736855389246334,0.0023195741503612296
2,45,45,90,3,2.73,0,Male,0.002687755171202356,4.991388581303316e-4
1,58,57,115,3.4,2.47,1,Female,0.0024315547737139348,9.009173636200908e-5
2,62,57,119,4,3.19,0,Male,0.00445155536241636,4.6683591452001255e-6
2,37,55,92,3.5,1.38,0,Male,0.0031165608569157,0.003013245894692794
2,53,56,109,3.25,2.8,0,Male,0.002545589235698285,3.844895592055111e-5
1,50,63,113,3.4,2.52,1,Female,0.0023066836422551405,3.529996134943304e-5
2,45,63,108,2.75,2.53,0,Male,0.004278702078420944,8.861734567681136e-5
2,35,41,76,2,2.24,0,Male,0.008296795155892989,0.0037916204450409757
2,35,32,67,2.25,1.43,0,Male,0.00864670081189243,3.0679797194132758e-6
2,44,41,85,2.5,2.06,0,Male,0.004426108842547324,1.1853685352925535e-4
2,52,53,105,3.5,3.52,0,Male,0.0022537986446589885,0.0010101682966890463
1,41,43,84,2.25,1.58,1,Female,0.005380502607851341,2.0353466329377255e-8
2,32,38,70,2.2,0.82,0,Male,0.008105909061817842,0.0025137346245625893
1,65,64,129,2.5,2.21,1,Female,0.009573477050870315,2.790702175808471e-4
1,50,48,98,2,1.18,1,Female,0.006601650396823778,0.0010822132703471356
1,58,57,115,2.5,3.64,1,Female,0.005181737305271095,0.007902872617478277
1,42,50,92,2.7,2.37,1,Female,0.003037589645211362,3.8569849771445474e-4
1,39,43,82,2.25,1.18,1,Female,0.005691837006506261,5.595445056154111e-4
1,53,70,123,4,3.19,1,Female,0.004905809511627808,4.677510913421057e-6
1,49,54,103,3,1.59,1,Female,0.0020035936866624263,7.080016503459638e-4
1,52,66,118,3.75,3.14,1,Female,0.0034534193459621262,1.0295267802973494e-4
1,51,56,107,2.75,3.63,1,Female,0.0026507148428104275,0.0038760943825079065
1,58,57,115,3,3.13,1,Female,0.0027500674542145468,8.618832593763326e-4
1,56,64,120,4,3.09,1,Female,0.004717470431489376,1.0778295642595533e-6
1,40,58,98,2.75,2.21,1,Female,0.0024894334127949754,3.440297225001895e-5
2,63,56,119,4,2.86,0,Male,0.00445155536241636,4.388499441119366e-4
1,48,53,101,2.67,1.16,1,Female,0.0026610010813015667,0.0016109272213588482
2,53,62,115,4,3.89,0,Male,0.004074988383412168,0.001552230010347815
2,73,60,133,4,3.89,0,Male,0.007417530259287092,0.0010847577245923867
1,47,41,88,3,1.45,1,Female,0.0037190575902945147,9.987128431414958e-4
1,57,49,106,3,2.69,1,Female,0.0020136417210123068,1.844427645989552e-4
2,44,56,100,2.6,2.27,0,Male,0.00405321600839224,3.92551441289657e-5
2,49,54,103,3.33,2.25,0,Male,0.0020915662512041404,1.943769921072579e-4
2,62,57,119,4,3.36,0,Male,0.00445155536241636,5.6521575247864306e-5
1,50,68,118,3,2.32,1,Female,0.0032309699086661586,9.289005646461173e-5
2,61,49,110,4,2.91,0,Male,0.0038985636722205104,9.145087668266005e-5
2,64,59,123,4,3.77,0,Male,0.005037390972576878,8.48062934014444e-4
1,48,64,112,3.8,3.04,1,Female,0.003586920483577932,7.261568267607879e-5
1,36,53,89,2.75,1.44,1,Female,0.0033875744280084177,5.997040419208437e-4
2,42,60,102,3.8,2.07,0,Male,0.00320939042128938,0.0014364640720668925
1,54,61,115,3.25,2.69,1,Female,0.0023815362788657656,1.0418405325358161e-5
2,49,51,100,3.75,2.67,0,Male,0.003142918133704228,3.643461707649975e-5
1,54,51,105,3.5,1.97,1,Female,0.002639607762907567,7.554995348480139e-4
1,43,49,92,2.25,1.08,1,Female,0.004658336591122478,0.0013074380250035261
1,31,46,77,2,0.92,1,Female,0.007779351476894475,9.614349120191627e-4
2,39,33,72,3.5,1.7,0,Male,0.008760052854909847,0.0017827086474542148
2,55,59,114,3.25,3,0,Male,0.0032675583946813846,1.6976104770553168e-4
2,53,57,110,3.75,3.34,0,Male,0.0029221147775607996,3.225065229802905e-4
1,47,45,92,3.75,1.69,1,Female,0.006373198272926503,0.003347979375027128
1,69,61,130,4,3.37,1,Female,0.005803042495938611,4.9927157934776e-5
2,55,38,93,2.75,1.52,0,Male,0.003048995570215661,8.257165456116446e-4
1,44,55,99,3.75,2.73,1,Female,0.004717331198192618,2.4625108610722872e-5
2,53,50,103,3.25,1.91,0,Male,0.0021108427966784857,6.532450464235584e-4
2,68,62,130,3.7,2.98,0,Male,0.006439706992544866,2.9344270512584854e-4
2,39,35,74,3.1,2.33,0,Male,0.006130663710470994,3.9268574220213936e-4
1,40,45,85,3,1.79,1,Female,0.004415291186097231,1.578783913936292e-4
1,44,54,98,3.75,3.48,1,Female,0.004914645769098504,0.002588105686269735
2,52,52,104,3,1.63,0,Male,0.0026243845605851013,0.0012471231232863325
2,59,49,108,3,2.33,0,Male,0.003077133091939046,6.520275585410977e-5
2,63,54,117,3.75,3.35,0,Male,0.0035457701503729825,2.2019552592660526e-4
1,62,71,133,4,3.43,1,Female,0.006383760259495153,6.994665478204203e-5
1,48,41,89,2.3,1.71,1,Female,0.0045850297516664505,2.526769506746301e-6
1,52,52,104,3.75,3.19,1,Female,0.003926947685372237,6.250322579964389e-4
1,43,50,93,2.5,1.69,1,Female,0.003459830611877082,6.894354227499557e-5
1,47,64,111,4,3.08,1,Female,0.004858734821226675,4.3356890545982426e-5
2,33,32,65,3,1.43,0,Male,0.009177070581420308,0.001132631434216034
2,67,54,121,3.25,2.79,0,Male,0.004827645374043078,8.860903535375707e-6
2,51,41,92,3.5,1.7,0,Male,0.0031165608569157,0.0015736599663861198
2,43,52,95,4,3.23,0,Male,0.005331182955736085,5.353303329299099e-4
2,40,42,82,3.5,2.12,0,Male,0.005284342383549257,2.6076618201943116e-4
1,50,58,108,4,3.67,1,Female,0.0051412501611899745,0.0020906451436377075
2,76,57,133,4,3.94,0,Male,0.007417530259287092,0.001341116999232291
2,47,50,97,3.5,1.4,0,Male,0.0025231434478715587,0.002682702780807353
2,45,49,94,3.4,1.9,0,Male,0.0025728193852951934,6.91732468806208e-4
2,41,38,79,3.6,1.56,0,Male,0.006791615050119066,0.003421190922181006
1,56,54,110,4,1.85,1,Female,0.004939827311767172,0.004388120496405717
1,57,58,115,3,3,1,Female,0.0027500674542145468,5.54620553336277e-4
1,36,52,88,3.4,2.37,1,Female,0.0051600546874739465,2.984795676868265e-5
1,38,50,88,3.75,2.31,1,Female,0.007607152397757241,1.5405513081931656e-4
1,59,66,125,4,3.77,1,Female,0.005096765345623115,0.001273566072838433
2,40,51,91,3.8,2.35,0,Male,0.004764792340971002,3.916565370273922e-4
1,58,62,120,4,3.79,1,Female,0.004717470431489376,0.0015999523375063696
2,52,52,104,3.75,2.54,0,Male,0.0028976453178796127,2.124847783734499e-4
2,64,53,117,3,2.19,0,Male,0.004860955720150733,7.147625424734706e-4
2,42,47,89,3,2.36,0,Male,0.0027903763142438304,4.6346195676165626e-5
1,41,52,93,2.2,2.05,1,Female,0.004928125347491845,4.702093581800954e-4
2,38,49,87,3.25,2.19,0,Male,0.0032534739020119306,3.84036032452686e-5
2,50,55,105,3.25,1.8,0,Male,0.0022034411185626714,0.0010074729392046992
2,66,52,118,2.8,3.23,0,Male,0.006366455481490265,0.00219665318483974
2,41,59,100,3.3,0.48,0,Male,0.0020756513495849456,0.0064157818249941925
1,46,62,108,2.1,2.02,1,Female,0.007063185086414966,1.274489276247046e-4
2,59,51,110,3.4,2.44,0,Male,0.0025040665252382363,1.7996118314518976e-4
1,45,49,94,2.4,1.77,1,Female,0.003816110827797292,5.660855708161114e-6
1,46,58,104,3.7,3.2,1,Female,0.0036399120557804813,6.766401690752179e-4
2,50,58,108,2.7,2.15,0,Male,0.004586800175731681,1.1239335790264308e-4
1,50,60,110,3.5,2.6,1,Female,0.0024452498985145614,9.965289268266472e-6
2,58,57,115,3.6,3.38,0,Male,0.0031096424960288917,4.307598096452445e-4
1,56,50,106,2.5,0.55,1,Female,0.0037121824980355035,0.00611709325343711
1,46,57,103,4,3.76,1,Female,0.005873694850074213,0.003580445461864421
2,47,48,95,3.25,3.06,0,Male,0.002263621087032558,6.298752274270788e-4
2,45,51,96,3.1,1.7,0,Male,0.0022197302498624945,7.269379517918983e-4
1,55,65,120,2.1,2.62,1,Female,0.010353925998483348,0.0025007760445743725
2,53,56,109,2.8,1.65,0,Male,0.004171667618639803,0.001728695414668907
2,51,55,106,3.5,1.89,0,Male,0.0022789873467701336,0.0012193942241895837
2,42,39,81,3.1,0.77,0,Male,0.0041996130952047786,0.005749438480706425
1,50,65,115,2.9,3.24,1,Female,0.0030556432910542317,0.0015027498218918745
1,46,57,103,2.8,2.93,1,Female,0.0023141222542098203,9.520180827998217e-4
2,69,55,124,4,3.57,0,Male,0.005216548098735183,2.675221461599453e-4
2,55,53,108,2.8,2.72,0,Male,0.003993198747781659,3.1785286133497175e-4
2,48,53,101,3.3,2.4,0,Male,0.0020680271188612217,3.86588060634168e-5
1,52,46,98,2.5,2.03,1,Female,0.003295303240684915,2.277546647478131e-5
1,53,52,105,2.7,2.21,1,Female,0.002696325081335999,6.653950209965864e-6
1,58,60,118,2.3,2.15,1,Female,0.007610088068161581,2.6170726570621643e-6
2,50,48,98,2.6,1.75,0,Male,0.003879617737371123,3.9443553633581685e-4
2,44,50,94,2.75,2.04,0,Male,0.0030394209779651205,2.4836391974210967e-5
2,39,51,90,2.75,1.15,0,Male,0.0031561950836509027,0.002002173876353694
2,45,53,98,2.5,1.79,0,Male,0.004491059726685363,2.528937971516069e-4
2,63,64,127,3.8,3.63,0,Male,0.005560066309648244,6.192627096963941e-4
2,47,47,94,2.7,2,0,Male,0.003233476774870672,3.2805645983471e-5
2,62,56,118,3.25,3.13,0,Male,0.00408056093191873,3.350670409403031e-4
2,44,57,101,2.3,2.67,0,Male,0.006411723060880531,0.002087812122692447
1,39,38,77,3.2,2.24,1,Female,0.007745561917552098,3.264284591362869e-4
2,42,42,84,2.9,3.04,0,Male,0.0035215124929208683,0.002378242217082644
2,48,43,91,2.8,3.27,0,Male,0.0029603592286255665,0.0028035412644804264
1,41,45,86,3.4,3.28,1,Female,0.005741465186167749,0.004445207109576108
1,50,59,109,2.5,2.56,1,Female,0.004084320495421935,6.245445901544084e-4
1,48,63,111,3.8,2.85,1,Female,0.003622350170269675,1.5778271507531478e-7
2,50,62,112,3.3,3.38,0,Male,0.0028473936844200976,8.739218527725134e-4
1,57,62,119,3.2,2.84,1,Female,0.002947080774483376,8.058462093427505e-5
2,47,55,102,3.3,3.22,0,Male,0.002073482177584767,6.232300067381868e-4
1,57,66,123,2.6,2.24,1,Female,0.006579973766261582,8.461889747463798e-5
1,36,56,92,3.1,2.08,1,Female,0.0031333698269491858,2.0548319735800245e-5
1,42,51,93,3.1,2.67,1,Female,0.0029634759411644946,4.948669112008307e-4
2,49,38,87,3.2,2.13,0,Male,0.0031645608820003567,5.852452050423259e-5
1,62,75,137,3.8,3.55,1,Female,0.006951947386647202,4.3539108513708833e-4
1,42,66,108,3.3,1.5,1,Female,0.002053410648626632,0.001586670132973734
1,47,53,100,2.8,2.54,1,Female,0.0023240372816809253,2.8241155554886444e-4
2,49,58,107,3.5,1.19,0,Male,0.002317255338328549,0.00416486749130437
1,45,53,98,2.2,2.08,1,Female,0.005007974334310795,3.6210774098249435e-4
2,39,42,81,2.75,0,0,Male,0.0041840752541092265,0.01153394540835256
1,43,50,93,3.25,1.69,1,Female,0.0033477695235940427,8.298457075744753e-4
1,39,50,89,3,2.26,1,Female,0.0035131383039214833,8.918820817739511e-5
2,54,56,110,3.7,3.13,0,Male,0.002794609298643217,8.759421397716752e-5
2,47,46,93,2.9,1.73,0,Male,0.002626834415328839,4.4719739224854504e-4
2,38,43,81,2.7,2.58,0,Male,0.00427223462920996,0.0013614999342047897
2,39,63,102,2.8,2.09,0,Male,0.0031970506010254706,9.947725404694382e-5
1,55,70,125,3.7,3,1,Female,0.0040620107716474625,8.717320548537766e-7
2,54,61,115,3,2.04,0,Male,0.004372995665528356,0.0010287421520532168
1,65,60,125,3.5,2.94,1,Female,0.0038240697224260914,3.2964262455734795e-6
2,44,43,87,4,2.31,0,Male,0.007298541202759927,9.699239991619863e-4
1,56,59,115,3.75,2.63,1,Female,0.0033390814285271892,1.6568413292726976e-4
2,51,61,112,3.5,2.79,0,Male,0.0027047846378296806,5.170158635794361e-6
1,40,58,98,2.9,1.9,1,Female,0.0022770487161184495,1.0790781982598846e-4
2,47,50,97,3.5,3,0,Male,0.0025231434478715587,2.7734412250334363e-4
